Section,Path,Left,Right,Summary
AIS,/v2_1_1.1/accounts/v2_1_1.1/getHolds,"x-swagger-router-controller: ais
post:
  summary: Get list of user's holded operations
  description: ''
  operationId: getHolds
  parameters:
  - $ref: '#/parameters/authorizationParam'
  - $ref: '#/parameters/acceptEncodingParam'
  - $ref: '#/parameters/acceptLanguageParam'
  - $ref: '#/parameters/acceptCharsetParam'
  - $ref: '#/parameters/xjwsSignatureParam'
  - $ref: '#/parameters/xRequestIdParam'
  - name: getHoldsRequest
    in: body
    description: Data for hold Request
    required: true
    schema:
      $ref: '#/definitions/HoldRequest'
  tags:
  - AIS
  responses:
    '200':
      description: Success
      schema:
        $ref: '#/definitions/HoldInfoResponse'
      headers:
        Content-Encoding:
          type: string
          description: Gzip, deflate
        X-JWS-SIGNATURE:
          type: string
          description: Detached JWS signature of the body of the response
    '400':
      description: Bad request
      schema:
        $ref: '#/definitions/Error'
    '401':
      description: Unauthorized
      schema:
        $ref: '#/definitions/Error'
    '403':
      description: Forbidden
      schema:
        $ref: '#/definitions/Error'
    '405':
      description: Method Not Allowed
      schema:
        $ref: '#/definitions/Error'
    '406':
      description: Not Acceptable
      schema:
        $ref: '#/definitions/Error'
    '415':
      description: Unsupported Media Type
      schema:
        $ref: '#/definitions/Error'
    '422':
      description: Unprocessable entity
      schema:
        $ref: '#/definitions/Error'
    '429':
      description: Request limit for the requested service exceeded
      schema:
        $ref: '#/definitions/Error'
    '500':
      description: Internal Server Error
      schema:
        $ref: '#/definitions/Error'
    '503':
      description: Service Unavailable
      schema:
        $ref: '#/definitions/Error'
  security:
  - xs2a_auth_aspsp:
    - ais
  - xs2a_auth_decoupled:
    - ais
",,"Removed:
- x-swagger-router-controller: ais
- post: summary: Get list of user's holded operations
description: ''
operationId: getHolds
parameters:
- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: getHoldsRequest
  in: body
  description: Data for hold Request
  required: true
  schema:
    $ref: '#/definitions/HoldRequest'
tags:
- AIS
responses:
  '200':
    description: Success
    schema:
      $ref: '#/definitions/HoldInfoResponse'
    headers:
      Content-Encoding:
        type: string
        description: Gzip, deflate
      X-JWS-SIGNATURE:
        type: string
        description: Detached JWS signature of the body of the response
  '400':
    description: Bad request
    schema:
      $ref: '#/definitions/Error'
  '401':
    description: Unauthorized
    schema:
      $ref: '#/definitions/Error'
  '403':
    description: Forbidden
    schema:
      $ref: '#/definitions/Error'
  '405':
    description: Method Not Allowed
    schema:
      $ref: '#/definitions/Error'
  '406':
    description: Not Acceptable
    schema:
      $ref: '#/definitions/Error'
  '415':
    description: Unsupported Media Type
    schema:
      $ref: '#/definitions/Error'
  '422':
    description: Unprocessable entity
    schema:
      $ref: '#/definitions/Error'
  '429':
    description: Request limit for the requested service exceeded
    schema:
      $ref: '#/definitions/Error'
  '500':
    description: Internal Server Error
    schema:
      $ref: '#/definitions/Error'
  '503':
    description: Service Unavailable
    schema:
      $ref: '#/definitions/Error'
security:
- xs2a_auth_aspsp:
  - ais
- xs2a_auth_decoupled:
  - ais"
AIS,/v2_1_1.1/accounts/v2_1_1.1/getTransactionDetail,"x-swagger-router-controller: ais
post:
  summary: Get detailed information about user's single transaction
  description: ''
  operationId: getTransactionDetail
  parameters:
  - $ref: '#/parameters/authorizationParam'
  - $ref: '#/parameters/acceptEncodingParam'
  - $ref: '#/parameters/acceptLanguageParam'
  - $ref: '#/parameters/acceptCharsetParam'
  - $ref: '#/parameters/xjwsSignatureParam'
  - $ref: '#/parameters/xRequestIdParam'
  - name: getTransationDetailRequest
    in: body
    description: Data for transation detail Request
    required: true
    schema:
      $ref: '#/definitions/TransactionDetailRequest'
  tags:
  - AIS
  responses:
    '200':
      description: Success
      schema:
        $ref: '#/definitions/TransactionDetailResponse'
      headers:
        Content-Encoding:
          type: string
          description: Gzip, deflate
        X-JWS-SIGNATURE:
          type: string
          description: Detached JWS signature of the body of the response
    '400':
      description: Bad request
      schema:
        $ref: '#/definitions/Error'
    '401':
      description: Unauthorized
      schema:
        $ref: '#/definitions/Error'
    '403':
      description: Forbidden
      schema:
        $ref: '#/definitions/Error'
    '405':
      description: Method Not Allowed
      schema:
        $ref: '#/definitions/Error'
    '406':
      description: Not Acceptable
      schema:
        $ref: '#/definitions/Error'
    '415':
      description: Unsupported Media Type
      schema:
        $ref: '#/definitions/Error'
    '422':
      description: Unprocessable entity
      schema:
        $ref: '#/definitions/Error'
    '429':
      description: Request limit for the requested service exceeded
      schema:
        $ref: '#/definitions/Error'
    '500':
      description: Internal Server Error
      schema:
        $ref: '#/definitions/Error'
    '503':
      description: Service Unavailable
      schema:
        $ref: '#/definitions/Error'
  security:
  - xs2a_auth_aspsp:
    - ais
  - xs2a_auth_decoupled:
    - ais
",,"Removed:
- x-swagger-router-controller: ais
- post: summary: Get detailed information about user's single transaction
description: ''
operationId: getTransactionDetail
parameters:
- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: getTransationDetailRequest
  in: body
  description: Data for transation detail Request
  required: true
  schema:
    $ref: '#/definitions/TransactionDetailRequest'
tags:
- AIS
responses:
  '200':
    description: Success
    schema:
      $ref: '#/definitions/TransactionDetailResponse'
    headers:
      Content-Encoding:
        type: string
        description: Gzip, deflate
      X-JWS-SIGNATURE:
        type: string
        description: Detached JWS signature of the body of the response
  '400':
    description: Bad request
    schema:
      $ref: '#/definitions/Error'
  '401':
    description: Unauthorized
    schema:
      $ref: '#/definitions/Error'
  '403':
    description: Forbidden
    schema:
      $ref: '#/definitions/Error'
  '405':
    description: Method Not Allowed
    schema:
      $ref: '#/definitions/Error'
  '406':
    description: Not Acceptable
    schema:
      $ref: '#/definitions/Error'
  '415':
    description: Unsupported Media Type
    schema:
      $ref: '#/definitions/Error'
  '422':
    description: Unprocessable entity
    schema:
      $ref: '#/definitions/Error'
  '429':
    description: Request limit for the requested service exceeded
    schema:
      $ref: '#/definitions/Error'
  '500':
    description: Internal Server Error
    schema:
      $ref: '#/definitions/Error'
  '503':
    description: Service Unavailable
    schema:
      $ref: '#/definitions/Error'
security:
- xs2a_auth_aspsp:
  - ais
- xs2a_auth_decoupled:
  - ais"
AS,/v2_1_1.1/auth/v2_1_1.1/authorize,"x-swagger-router-controller: as
post:
  summary: Requests OAuth2 authorization code
  description: Requests OAuth2 authorization code
  operationId: authorize
  parameters:
  - $ref: '#/parameters/acceptEncodingParam'
  - $ref: '#/parameters/acceptLanguageParam'
  - $ref: '#/parameters/acceptCharsetParam'
  - $ref: '#/parameters/xjwsSignatureParam'
  - $ref: '#/parameters/xRequestIdParam'
  - name: authorizeRequest
    in: body
    description: Data for OAuth2 Authorization Code Request
    required: true
    schema:
      $ref: '#/definitions/AuthorizeRequest'
  tags:
  - AS
  responses:
    '200':
      description: Success
      schema:
        $ref: '#/definitions/AuthorizeResponse'
      headers:
        Content-Encoding:
          type: string
          description: Gzip, deflate
        X-JWS-SIGNATURE:
          type: string
          description: Detached JWS signature of the body of the response
    '400':
      description: Bad request
      schema:
        $ref: '#/definitions/Error'
    '405':
      description: Method Not Allowed
      schema:
        $ref: '#/definitions/Error'
    '406':
      description: Not Acceptable
      schema:
        $ref: '#/definitions/Error'
    '415':
      description: Unsupported Media Type
      schema:
        $ref: '#/definitions/Error'
    '422':
      description: Unprocessable entity
      schema:
        $ref: '#/definitions/Error'
    '500':
      description: Internal Server Error
      schema:
        $ref: '#/definitions/Error'
    '503':
      description: Service Unavailable
      schema:
        $ref: '#/definitions/Error'
",,"Removed:
- x-swagger-router-controller: as
- post: summary: Requests OAuth2 authorization code
description: Requests OAuth2 authorization code
operationId: authorize
parameters:
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: authorizeRequest
  in: body
  description: Data for OAuth2 Authorization Code Request
  required: true
  schema:
    $ref: '#/definitions/AuthorizeRequest'
tags:
- AS
responses:
  '200':
    description: Success
    schema:
      $ref: '#/definitions/AuthorizeResponse'
    headers:
      Content-Encoding:
        type: string
        description: Gzip, deflate
      X-JWS-SIGNATURE:
        type: string
        description: Detached JWS signature of the body of the response
  '400':
    description: Bad request
    schema:
      $ref: '#/definitions/Error'
  '405':
    description: Method Not Allowed
    schema:
      $ref: '#/definitions/Error'
  '406':
    description: Not Acceptable
    schema:
      $ref: '#/definitions/Error'
  '415':
    description: Unsupported Media Type
    schema:
      $ref: '#/definitions/Error'
  '422':
    description: Unprocessable entity
    schema:
      $ref: '#/definitions/Error'
  '500':
    description: Internal Server Error
    schema:
      $ref: '#/definitions/Error'
  '503':
    description: Service Unavailable
    schema:
      $ref: '#/definitions/Error'"
AS,/v2_1_1.1/auth/v2_1_1.1/authorizeExt,"x-swagger-router-controller: as
post:
  summary: Requests OAuth2 authorization code based on One-time authorization code
    issued by External Authorization Tool
  description: Requests OAuth2 authorization code based One-time authorization code
    issued by External Authorization Tool. Authorization code will be delivered to
    TPP as callback request from ASPSP if PSU authentication is confirmed by EAT.
    Callback function must provide similar notification also in case of unsuccessful
    authentication or its abandonment.
  operationId: authorizeExt
  parameters:
  - $ref: '#/parameters/acceptEncodingParam'
  - $ref: '#/parameters/acceptLanguageParam'
  - $ref: '#/parameters/acceptCharsetParam'
  - $ref: '#/parameters/xjwsSignatureParam'
  - $ref: '#/parameters/xRequestIdParam'
  - name: eatCodeRequest
    in: body
    description: Data for OAuth2 Authorization Code Request extended for EAT based
      authentication and callback response
    required: true
    schema:
      $ref: '#/definitions/EatCodeRequest'
  tags:
  - AS
  responses:
    '204':
      description: Successful TPP and EAT Code verification
      headers:
        Content-Encoding:
          type: string
          description: Gzip, deflate
    '400':
      description: Bad request
      schema:
        $ref: '#/definitions/Error'
    '405':
      description: Method Not Allowed
      schema:
        $ref: '#/definitions/Error'
    '406':
      description: Not Acceptable
      schema:
        $ref: '#/definitions/Error'
    '415':
      description: Unsupported Media Type
      schema:
        $ref: '#/definitions/Error'
    '422':
      description: Unprocessable entity
      schema:
        $ref: '#/definitions/Error'
    '500':
      description: Internal Server Error
      schema:
        $ref: '#/definitions/Error'
    '503':
      description: Service Unavailable
      schema:
        $ref: '#/definitions/Error'
",,"Removed:
- x-swagger-router-controller: as
- post: summary: Requests OAuth2 authorization code based on One-time authorization code issued
  by External Authorization Tool
description: Requests OAuth2 authorization code based One-time authorization code
  issued by External Authorization Tool. Authorization code will be delivered to TPP
  as callback request from ASPSP if PSU authentication is confirmed by EAT. Callback
  function must provide similar notification also in case of unsuccessful authentication
  or its abandonment.
operationId: authorizeExt
parameters:
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: eatCodeRequest
  in: body
  description: Data for OAuth2 Authorization Code Request extended for EAT based authentication
    and callback response
  required: true
  schema:
    $ref: '#/definitions/EatCodeRequest'
tags:
- AS
responses:
  '204':
    description: Successful TPP and EAT Code verification
    headers:
      Content-Encoding:
        type: string
        description: Gzip, deflate
  '400':
    description: Bad request
    schema:
      $ref: '#/definitions/Error'
  '405':
    description: Method Not Allowed
    schema:
      $ref: '#/definitions/Error'
  '406':
    description: Not Acceptable
    schema:
      $ref: '#/definitions/Error'
  '415':
    description: Unsupported Media Type
    schema:
      $ref: '#/definitions/Error'
  '422':
    description: Unprocessable entity
    schema:
      $ref: '#/definitions/Error'
  '500':
    description: Internal Server Error
    schema:
      $ref: '#/definitions/Error'
  '503':
    description: Service Unavailable
    schema:
      $ref: '#/definitions/Error'"
AS,/v2_1_1.1/auth/v2_1_1.1/token,"x-swagger-router-controller: as
post:
  summary: Requests OAuth2 access token value
  description: Requests OAuth2 access token value
  operationId: token
  parameters:
  - $ref: '#/parameters/acceptEncodingParam'
  - $ref: '#/parameters/acceptLanguageParam'
  - $ref: '#/parameters/acceptCharsetParam'
  - $ref: '#/parameters/xjwsSignatureParam'
  - $ref: '#/parameters/xRequestIdParam'
  - name: tokenRequest
    in: body
    description: Data for OAuth2 Access Token Request
    required: true
    schema:
      $ref: '#/definitions/TokenRequest'
  tags:
  - AS
  responses:
    '200':
      description: Success
      schema:
        $ref: '#/definitions/TokenResponse'
      headers:
        Content-Encoding:
          type: string
          description: Gzip, deflate
        X-JWS-SIGNATURE:
          type: string
          description: Detached JWS signature of the body of the response
    '400':
      description: Bad request
      schema:
        $ref: '#/definitions/Error'
    '401':
      description: Unauthorized
      schema:
        $ref: '#/definitions/Error'
    '405':
      description: Method Not Allowed
      schema:
        $ref: '#/definitions/Error'
    '406':
      description: Not Acceptable
      schema:
        $ref: '#/definitions/Error'
    '415':
      description: Unsupported Media Type
      schema:
        $ref: '#/definitions/Error'
    '422':
      description: Unprocessable entity
      schema:
        $ref: '#/definitions/Error'
    '500':
      description: Internal Server Error
      schema:
        $ref: '#/definitions/Error'
    '503':
      description: Service Unavailable
      schema:
        $ref: '#/definitions/Error'
",,"Removed:
- x-swagger-router-controller: as
- post: summary: Requests OAuth2 access token value
description: Requests OAuth2 access token value
operationId: token
parameters:
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: tokenRequest
  in: body
  description: Data for OAuth2 Access Token Request
  required: true
  schema:
    $ref: '#/definitions/TokenRequest'
tags:
- AS
responses:
  '200':
    description: Success
    schema:
      $ref: '#/definitions/TokenResponse'
    headers:
      Content-Encoding:
        type: string
        description: Gzip, deflate
      X-JWS-SIGNATURE:
        type: string
        description: Detached JWS signature of the body of the response
  '400':
    description: Bad request
    schema:
      $ref: '#/definitions/Error'
  '401':
    description: Unauthorized
    schema:
      $ref: '#/definitions/Error'
  '405':
    description: Method Not Allowed
    schema:
      $ref: '#/definitions/Error'
  '406':
    description: Not Acceptable
    schema:
      $ref: '#/definitions/Error'
  '415':
    description: Unsupported Media Type
    schema:
      $ref: '#/definitions/Error'
  '422':
    description: Unprocessable entity
    schema:
      $ref: '#/definitions/Error'
  '500':
    description: Internal Server Error
    schema:
      $ref: '#/definitions/Error'
  '503':
    description: Service Unavailable
    schema:
      $ref: '#/definitions/Error'"
Definitions,AuthorizeRequest,"description: Klasa zapytania o uzyskanie kodu autoryzacyjnego zgodnego z OAuth2
type: object
required:
- requestHeader
- response_type
- client_id
- redirect_uri
- scope
- scope_details
- state
properties:
  requestHeader:
    $ref: '#/definitions/RequestHeaderWithoutTokenAS'
  response_type:
    type: string
    description: ""Typ odpowiedzi. Warto\u015B\u0107 sta\u0142a: code""
  client_id:
    type: string
    description: Identyfikator TPP
  redirect_uri:
    type: string
    description: ""Adres us\u0142ugi TPP, na kt\xF3re zostanie wykonane przekierowanie\
      \ po uwierzytelnieniu klienta ASPSP""
  scope:
    type: string
    description: ""Typy zg\xF3d o kt\xF3re prosi TPP. Lista identyfikator\xF3w zgodna\
      \ ze specyfikacj\u0105 standardu Polish API.""
  scope_details:
    $ref: '#/definitions/ScopeDetailsInput'
  state:
    type: string
    description: ""Losowa, unikalna w ramach TPP warto\u015B\u0107 \u2013 zabezpieczenie\
      \ przed atakiem Cross-Site Request Forgery""
xml:
  name: AuthorizeRequest
",,"Removed:
- description: Klasa zapytania o uzyskanie kodu autoryzacyjnego zgodnego z OAuth2
- type: object
- required: - requestHeader
- response_type
- client_id
- redirect_uri
- scope
- scope_details
- state
- properties: requestHeader:
  $ref: '#/definitions/RequestHeaderWithoutTokenAS'
response_type:
  type: string
  description: ""Typ odpowiedzi. Warto\u015B\u0107 sta\u0142a: code""
client_id:
  type: string
  description: Identyfikator TPP
redirect_uri:
  type: string
  description: ""Adres us\u0142ugi TPP, na kt\xF3re zostanie wykonane przekierowanie\
    \ po uwierzytelnieniu klienta ASPSP""
scope:
  type: string
  description: ""Typy zg\xF3d o kt\xF3re prosi TPP. Lista identyfikator\xF3w zgodna\
    \ ze specyfikacj\u0105 standardu Polish API.""
scope_details:
  $ref: '#/definitions/ScopeDetailsInput'
state:
  type: string
  description: ""Losowa, unikalna w ramach TPP warto\u015B\u0107 \u2013 zabezpieczenie\
    \ przed atakiem Cross-Site Request Forgery""
- xml: name: AuthorizeRequest"
Definitions,AuthorizeResponse,"description: ""Klasa odpowiedzi na zapytanie TPP o autoryzacj\u0119 PSU do wykonania\
  \ us\u0142ugi interfejsu XS2A""
required:
- responseHeader
- aspspRedirectUri
properties:
  responseHeader:
    $ref: '#/definitions/ResponseHeader'
  aspspRedirectUri:
    type: string
    description: ""Adres po stronie ASPSP, na kt\xF3ry TPP powinien dokona\u0107 przekierowania\
      \ przegl\u0105darki PSU w celu jego uwierzytelnienia""
xml:
  name: AuthorizeResponse
",,"Removed:
- description: Klasa odpowiedzi na zapytanie TPP o autoryzację PSU do wykonania usługi interfejsu XS2A
- required: - responseHeader
- aspspRedirectUri
- properties: responseHeader:
  $ref: '#/definitions/ResponseHeader'
aspspRedirectUri:
  type: string
  description: ""Adres po stronie ASPSP, na kt\xF3ry TPP powinien dokona\u0107 przekierowania\
    \ przegl\u0105darki PSU w celu jego uwierzytelnienia""
- xml: name: AuthorizeResponse"
Definitions,EatCodeRequest,"description: Klasa zapytania o uzyskanie kodu autoryzacyjnego zgodnego z OAuth2 na
  podstawie przekazanego kodu jednorazowego, wygenerowanego w EAT
type: object
required:
- requestHeader
- requestId
- response_type
- eatCode
- client_id
- callbackURL
- apiKey
- scope
- scope_details
properties:
  requestHeader:
    $ref: '#/definitions/RequestHeaderWithoutTokenCallbackAS'
  response_type:
    type: string
    description: ""Typ odpowiedzi. Warto\u015B\u0107 sta\u0142a: code""
  eatCode:
    type: string
    description: Jednorazowy kod autoryzacyjny wygenerowany przez EAT
  eatType:
    $ref: '#/definitions/DictionaryItem'
  client_id:
    type: string
    description: Identyfikator TPP
  scope:
    type: string
    description: ""Typy zg\xF3d o kt\xF3re prosi TPP. Lista identyfikator\xF3w zgodna\
      \ ze specyfikacj\u0105 standardu Polish API.""
  scope_details:
    $ref: '#/definitions/ScopeDetailsInput'
  state:
    type: string
    description: ""Losowa, unikalna w ramach TPP warto\u015B\u0107 \u2013 zabezpieczenie\
      \ przed atakiem Cross-Site Request Forgery""
xml:
  name: EatCodeRequest
",,"Removed:
- description: Klasa zapytania o uzyskanie kodu autoryzacyjnego zgodnego z OAuth2 na podstawie przekazanego kodu jednorazowego, wygenerowanego w EAT
- type: object
- required: - requestHeader
- requestId
- response_type
- eatCode
- client_id
- callbackURL
- apiKey
- scope
- scope_details
- properties: requestHeader:
  $ref: '#/definitions/RequestHeaderWithoutTokenCallbackAS'
response_type:
  type: string
  description: ""Typ odpowiedzi. Warto\u015B\u0107 sta\u0142a: code""
eatCode:
  type: string
  description: Jednorazowy kod autoryzacyjny wygenerowany przez EAT
eatType:
  $ref: '#/definitions/DictionaryItem'
client_id:
  type: string
  description: Identyfikator TPP
scope:
  type: string
  description: ""Typy zg\xF3d o kt\xF3re prosi TPP. Lista identyfikator\xF3w zgodna\
    \ ze specyfikacj\u0105 standardu Polish API.""
scope_details:
  $ref: '#/definitions/ScopeDetailsInput'
state:
  type: string
  description: ""Losowa, unikalna w ramach TPP warto\u015B\u0107 \u2013 zabezpieczenie\
    \ przed atakiem Cross-Site Request Forgery""
- xml: name: EatCodeRequest"
Definitions,TokenRequest,"description: ""Klasa zapytania o uzyskanie tokena dost\u0119powego zgodnego z OAuth2""
type: object
required:
- grant_type
properties:
  requestHeader:
    $ref: '#/definitions/RequestHeaderWithoutTokenAS'
  grant_type:
    type: string
    description: ""Typ zastosowanej autoryzacji. Jedna z warto\u015Bci: authorization_code,\
      \ refresh_token, exchange_token (rozszerzenie standardu OAuth2)""
  Code:
    type: string
    description: ""Kod autoryzacji uzyskany podczas \u017C\u0105dania do us\u0142ugi\
      \ /authorize OAuth2. Wymagany dla grant_type=authorization_code.""
  redirect_uri:
    type: string
    description: ""Adres us\u0142ugi TPP, na kt\xF3re zostanie wykonane przekierowanie\
      \ po wygenerowaniu tokena dost\u0119powego przez ASPSP. Wymagany dla grant_type=authorization_code.""
  client_id:
    type: string
    description: Identyfikator TPP. Wymagany dla grant_type=authorization_code.
  refresh_token:
    type: string
    description: ""Warto\u015B\u0107 tokena, kt\xF3ry s\u0142u\u017Cy do uzyskania\
      \ nowego tokena dost\u0119powego dla tego samego zakresu zg\xF3d (scope, scope_details)\
      \ - w przypadku gdy pierwotny token utraci swoj\u0105 wa\u017Cno\u015B\u0107\
      , lub dla zaw\u0119\u017Conego zakresu zg\xF3d. Wymagany dla grant_type=refresh_token.""
  exchange_token:
    type: string
    description: ""Warto\u015B\u0107 tokena, kt\xF3ry s\u0142u\u017Cy do uzyskania\
      \ nowego tokena dost\u0119powego dla innego zakresu zg\xF3d (scope, scope_details).\
      \ Warto\u015Bci\u0105 tego parametru powinien by\u0107 token dost\u0119powy\
      \ wa\u017Cnej sesji komuikacyjnej z interfejsem XS2A. Wymagany dla grant_type=exchange_token.""
  scope:
    type: string
    description: ""Typy zg\xF3d o kt\xF3re prosi TPP. Lista identyfikator\xF3w zgodna\
      \ ze specyfikacj\u0105 standardu Polish API. Wymagany dla grant_type=exchange_token.""
  scope_details:
    $ref: '#/definitions/ScopeDetailsInput'
  is_user_session:
    type: boolean
    description: ""Okre\u015Bla czy dana sesja jest zwi\u0105zana z interakcj\u0105\
      \ z PSU \u2013 warto\u015Bci true/false. Rozszerzenie standardu OAuth2.""
  user_ip:
    type: string
    description: ""IP przegl\u0105darki u\u017Cytkownika (informacja na potrzeby fraud\
      \ detection). Rozszerzenie standardu OAuth2. Wymagany dla is_user_session =\
      \ true.""
  user_agent:
    type: string
    description: ""Informacja dotycz\u0105ca wersji przegl\u0105darki u\u017Cytkownika\
      \ (informacja na potrzeby fraud detection). Rozszerzenie standardu OAuth2. Wymagany\
      \ dla is_user_session = true.""
xml:
  name: TokenRequest
",,"Removed:
- description: Klasa zapytania o uzyskanie tokena dostępowego zgodnego z OAuth2
- type: object
- required: - grant_type
- properties: requestHeader:
  $ref: '#/definitions/RequestHeaderWithoutTokenAS'
grant_type:
  type: string
  description: ""Typ zastosowanej autoryzacji. Jedna z warto\u015Bci: authorization_code,\
    \ refresh_token, exchange_token (rozszerzenie standardu OAuth2)""
Code:
  type: string
  description: ""Kod autoryzacji uzyskany podczas \u017C\u0105dania do us\u0142ugi\
    \ /authorize OAuth2. Wymagany dla grant_type=authorization_code.""
redirect_uri:
  type: string
  description: ""Adres us\u0142ugi TPP, na kt\xF3re zostanie wykonane przekierowanie\
    \ po wygenerowaniu tokena dost\u0119powego przez ASPSP. Wymagany dla grant_type=authorization_code.""
client_id:
  type: string
  description: Identyfikator TPP. Wymagany dla grant_type=authorization_code.
refresh_token:
  type: string
  description: ""Warto\u015B\u0107 tokena, kt\xF3ry s\u0142u\u017Cy do uzyskania nowego\
    \ tokena dost\u0119powego dla tego samego zakresu zg\xF3d (scope, scope_details)\
    \ - w przypadku gdy pierwotny token utraci swoj\u0105 wa\u017Cno\u015B\u0107,\
    \ lub dla zaw\u0119\u017Conego zakresu zg\xF3d. Wymagany dla grant_type=refresh_token.""
exchange_token:
  type: string
  description: ""Warto\u015B\u0107 tokena, kt\xF3ry s\u0142u\u017Cy do uzyskania nowego\
    \ tokena dost\u0119powego dla innego zakresu zg\xF3d (scope, scope_details). Warto\u015B\
    ci\u0105 tego parametru powinien by\u0107 token dost\u0119powy wa\u017Cnej sesji\
    \ komuikacyjnej z interfejsem XS2A. Wymagany dla grant_type=exchange_token.""
scope:
  type: string
  description: ""Typy zg\xF3d o kt\xF3re prosi TPP. Lista identyfikator\xF3w zgodna\
    \ ze specyfikacj\u0105 standardu Polish API. Wymagany dla grant_type=exchange_token.""
scope_details:
  $ref: '#/definitions/ScopeDetailsInput'
is_user_session:
  type: boolean
  description: ""Okre\u015Bla czy dana sesja jest zwi\u0105zana z interakcj\u0105 z\
    \ PSU \u2013 warto\u015Bci true/false. Rozszerzenie standardu OAuth2.""
user_ip:
  type: string
  description: ""IP przegl\u0105darki u\u017Cytkownika (informacja na potrzeby fraud\
    \ detection). Rozszerzenie standardu OAuth2. Wymagany dla is_user_session = true.""
user_agent:
  type: string
  description: ""Informacja dotycz\u0105ca wersji przegl\u0105darki u\u017Cytkownika\
    \ (informacja na potrzeby fraud detection). Rozszerzenie standardu OAuth2. Wymagany\
    \ dla is_user_session = true.""
- xml: name: TokenRequest"
Definitions,TokenResponse,"description: ""Klasa odpowiedzi na zapytanie TPP o wygenerowanie tokena dost\u0119\
  powego""
required:
- responseHeader
- access_token
- token_type
- expires_in
- scope_details
properties:
  responseHeader:
    $ref: '#/definitions/ResponseHeader'
  access_token:
    type: string
    description: ""Warto\u015B\u0107 wygenerowanego tokena dost\u0119powego""
  token_type:
    type: string
    description: ""Typ tokena dost\u0119powego. Dozwolona warto\u015B\u0107 to Bearer.""
  expires_in:
    type: string
    description: ""Czas wa\u017Cno\u015Bci tokena dost\u0119powego, po kt\xF3rym zostanie\
      \ on uniewa\u017Cniony. Warto\u015B\u0107 wyra\u017Cona w sekundach, od momentu\
      \ wygenerowania odpowiedzi.""
  refresh_token:
    type: string
    description: ""Warto\u015B\u0107 wygenerowanego tokena s\u0142u\u017C\u0105cego\
      \ do uzyskania nowego tokena dost\u0119powego bez konieczno\u015Bci ponownej\
      \ autoryzacji""
  scope:
    type: string
    description: ""Typy zg\xF3d kt\xF3re uzyska\u0142 TPP. Lista identyfikator\xF3\
      w zgodna ze specyfikacj\u0105 standardu Polish API.""
  scope_details:
    $ref: '#/definitions/ScopeDetailsOutput'
",,"Removed:
- description: Klasa odpowiedzi na zapytanie TPP o wygenerowanie tokena dostępowego
- required: - responseHeader
- access_token
- token_type
- expires_in
- scope_details
- properties: responseHeader:
  $ref: '#/definitions/ResponseHeader'
access_token:
  type: string
  description: ""Warto\u015B\u0107 wygenerowanego tokena dost\u0119powego""
token_type:
  type: string
  description: ""Typ tokena dost\u0119powego. Dozwolona warto\u015B\u0107 to Bearer.""
expires_in:
  type: string
  description: ""Czas wa\u017Cno\u015Bci tokena dost\u0119powego, po kt\xF3rym zostanie\
    \ on uniewa\u017Cniony. Warto\u015B\u0107 wyra\u017Cona w sekundach, od momentu\
    \ wygenerowania odpowiedzi.""
refresh_token:
  type: string
  description: ""Warto\u015B\u0107 wygenerowanego tokena s\u0142u\u017C\u0105cego do\
    \ uzyskania nowego tokena dost\u0119powego bez konieczno\u015Bci ponownej autoryzacji""
scope:
  type: string
  description: ""Typy zg\xF3d kt\xF3re uzyska\u0142 TPP. Lista identyfikator\xF3w zgodna\
    \ ze specyfikacj\u0105 standardu Polish API.""
scope_details:
  $ref: '#/definitions/ScopeDetailsOutput'"
Definitions,DeleteConsentRequest,"description: ""Klasa zapytania o usuni\u0119cie zgody na dost\u0119p do AIS""
type: object
required:
- consentId
properties:
  consentId:
    type: string
    description: Identyfikator zgody / Consent ID
xml:
  name: DeleteConsentRequest
",,"Removed:
- description: Klasa zapytania o usunięcie zgody na dostęp do AIS
- type: object
- required: - consentId
- properties: consentId:
  type: string
  description: Identyfikator zgody / Consent ID
- xml: name: DeleteConsentRequest"
